slide,titulo,secao_detectada,secao_correta (preencher)
1,Vocacional Vertical,(sem seção),
2,(sem título),(sem seção),
3,(sem título),(sem seção),
4,(sem título),(sem seção),
5,(sem título),(sem seção),
6,(sem título),(sem seção),
7,(sem título),(sem seção),
8,(sem título),(sem seção),
9,São Paulo/SP,(sem seção),
10,SUMÁRIO,(sem seção),
11,OBJETIVOS E METODOLOGIA,(sem seção),
12,OBJETIVOS DO ESTUDO,(sem seção),
13,METODOLOGIA,(sem seção),
14,IDENTIFICAÇÃO DO TERRENO,IDENTIFICACAO,
15,IDENTIFICAÇÃO DO TERRENO,IDENTIFICACAO,
16,TERRENO,IDENTIFICACAO,
17,ENTORNO DO TERRENO,IDENTIFICACAO,
18,ENTORNO DO TERRENO,IDENTIFICACAO,
19,"Kenuy, precisamos aprimorar o entorno, identificar pontos de comércios e serviços na região, vi que tem alguns prédios, ",ENTORNO,
20,"Segue um exemplo de entorno para você seguir como modelo, esse é um exemplo de como o Marcos quer que seja seguido. ESSA",ENTORNO,
21,DISTÂNCIA ATÉ O CENTRO SP,(sem seção),
22,DISTÂNCIA ATÉ O CENTRO Guarulhos,(sem seção),
23,VIAS DE ACESSO,(sem seção),
24,"Keuny, não foi realizado mapeamento físico?",ENTORNO,
25,PRODUTO PROPOSTO,CONCLUSAO,
26,DETERMINAÇÃO DA,(sem seção),
27,A Zona de Influência (região de interesse) é determinada pelos limites geográficos (raios traçados no mapa) estipulados ,IDENTIFICACAO,
28,DETERMINAÇÃO DA Z.I.,IDENTIFICACAO,
29,SOCIODEMOGRAFIA,SOCIO,
30,PROJEÇÃO DE POPULAÇÃO E DOMICÍLIOS,SOCIO,
31,POPULAÇÃO,SOCIO,
32,CRESCIMENTO ANUAL DA POPULAÇÃO ATÉ 2031,SOCIO,
33,PROJEÇÃO DO AUMENTO POPULACIONAL ATÉ 2031,(sem seção),
34,DOMICÍLIOS,SOCIO,
35,CRESCIMENTO ANUAL DOS DOMICÍLIOS ATÉ 2031,SOCIO,
36,PROJEÇÃO DO AUMENTO DOMICILIAR ATÉ 2031,(sem seção),
37,DADOS SOCIODEMOGRÁFICOS,SOCIO,
38,POPULAÇÃO POR FAIXA ETÁRIA,SOCIO,
39,DENSIDADE DEMOGRÁFICA,(sem seção),
40,DENSIDADE DEMOGRÁFICA,(sem seção),
41,DOMICÍLIOS POR FAIXA DE RENDA,SOCIO,
42,RENDA DOMICILIAR,SOCIO,
43,RENDA DOMICILIAR,SOCIO,
44,DOMICÍLIOS POR NÚMERO DE MORADORES,SOCIO,
45,DOMICÍLIOS POR NÚMERO DE MORADORES,SOCIO,
46,DOMICÍLIOS POR TIPO,SOCIO,
47,DOMICÍLIOS POR TIPO,SOCIO,
48,ÍNDICE DE VERTICALIZAÇÃO,(sem seção),
49,ÍNDICE DE VERTICALIZAÇÃO,(sem seção),
50,DOMICÍLIOS POR CONDIÇÃO DE OCUPAÇÃO,SOCIO,
51,DOMICÍLIOS POR CONDIÇÃO DE OCUPAÇÃO,SOCIO,
52,ÍNDICE DE PROPRIEDADE,(sem seção),
53,ÍNDICE DE PROPRIEDADE,(sem seção),
54,CRESCIMENTO VEGETATIVO POR FAIXA DE RENDA,SOCIO,
55,PROJEÇÃO DA DEMANDA VEGETATIVA DE DOMICÍLIOS – Até 15 min,SOCIO,
56,ABSORÇÃO DE DOMICÍLIOS,ABSORCAO,
57,ABSORÇÃO DE DOMICÍLIOS,ABSORCAO,
58,ABSORÇÃO RESIDENCIAL – ATÉ 15 min,ABSORCAO,
59,ABSORÇÃO TOTAL: ATÉ 15 min,ABSORCAO,
60,ABSORÇÃO DE LANÇAMENTOS: ATÉ 15 min          MÉDIA ANUAL DE 2026 A 2029,ABSORCAO,
61,Determinação de Metragem Segundo Preço de Mercado nas Zonas de Influência,MERCADO,
62,Renda Utilizada para o Financiamento,(sem seção),
63,Configuração dos Apartamentos,(sem seção),
64,Configuração dos Apartamentos,(sem seção),
65,Pontos de Comércio e Serviço na Zona de Influência,IDENTIFICACAO,
66,Pontos de comércio e serviços,(sem seção),
67,PONTOS DE COMÉRCIO E SERVIÇOS,(sem seção),
68,ANÁLISE DO MERCADO RESIDENCIAL VERTICAL,MERCADO,
69,LOCALIZAÇÃO DOS EMPREENDIMENTOS,MERCADO,
70,LOCALIZAÇÃO DOS EMPREENDIMENTOS,MERCADO,
71,LOCALIZAÇÃO DOS EMPREENDIMENTOS - Metragem,MERCADO,
72,LOCALIZAÇÃO DOS EMPREENDIMENTOS – R$/m²,MERCADO,
73,LOCALIZAÇÃO DOS EMPREENDIMENTOS – Oferta Final,MERCADO,
74,EMPREENDIMENTOS,MERCADO,
75,EMPREENDIMENTOS,MERCADO,
76,EMPREENDIMENTOS,MERCADO,
77,OFERTA LANÇADA E FINAL POR PADRÃO,MERCADO,
78,OFERTA LANÇADA E FINAL POR PADRÃO,MERCADO,
79,OFERTA LANÇADA E FINAL POR ANO DE LANÇAMENTO,MERCADO,
80,OFERTA LANÇADA E FINAL POR TIPOLOGIA,MERCADO,
81,OFERTA LANÇADA E FINAL POR TIPOLOGIA,MERCADO,
82,PREÇO E ÁREA MÉDIA POR TIPOLOGIA,MERCADO,
83,PREÇO DO METRO² PRIVATIVO POR TIPOLOGIA,MERCADO,
84,PREÇO E ÁREA MÉDIA POR PADRÃO,(sem seção),
85,PREÇO DO METRO² PRIVATIVO POR PADRÃO,(sem seção),
86,"MÍNIMO, MÉDIA E MÁXIMO DO PREÇO E METRAGEM PRIVATIVA POR PADRÃO",(sem seção),
87,"MÍNIMO, MÉDIA E MÁXIMO DO PREÇO E METRAGEM PRIVATIVA POR TIPOLOGIA",MERCADO,
88,TABELA DE LACUNAS,LACUNAS,
89,TABELA DE LACUNAS - TIPOLOGIA POR M² |Z.I. TOTAL,LACUNAS,
90,TABELA DE LACUNAS - TIPOLOGIA POR R$/M² | Z.I. TOTAL,LACUNAS,
