slide,titulo,secao_detectada,secao_correta (preencher)
1,Vocacional Horizontal,(sem seção),
2,VOCACIONAL HORIZONTAL,(sem seção),
3,(sem título),(sem seção),
4,Plataforma de georreferenciamento imobiliário,(sem seção),
5,(sem título),(sem seção),
6,(sem título),(sem seção),
7,SUMÁRIO,(sem seção),
8,OBJETIVOS E METODOLOGIAS,(sem seção),
9,Objetivos do estudo,(sem seção),
10,Metodologia,(sem seção),
11,IDENTIFICAÇÃO DO TERRENO E DETERMINAÇÃO DA ZONA DE INFLUÊNCIA,IDENTIFICACAO,
12,IDENTIFICAÇÃO DO TERRENO,IDENTIFICACAO,
13,TERRENO,IDENTIFICACAO,
14,Itaipava Club Residence,(sem seção),
15,ENTORNO  DO TERRENO,IDENTIFICACAO,
16,ENTORNO  DO TERRENO - Vídeo,IDENTIFICACAO,
17,Av. Itaipava,(sem seção),
18,Av. Itaipava,(sem seção),
19,Av. Itaipava,(sem seção),
20,Av. Itaipava,(sem seção),
21,"APROXIMADAMENTE 15 min  – 9,6 Km",(sem seção),
22,PRODUTO PROPOSTO,CONCLUSAO,
23,Produto proposto,CONCLUSAO,
24,Produto proposto,CONCLUSAO,
25,Produto proposto,CONCLUSAO,
26,DETERMINAÇÃO DA ZONA DE INFLUÊNCIA,IDENTIFICACAO,
27,DETERMINAÇÃO DA Z.I.,IDENTIFICACAO,
28,DETERMINAÇÃO DA Z.I.,IDENTIFICACAO,
29,SOCIODEMOGRAFIA,SOCIO,
30,PROJEÇÃO DE POPULAÇÃO E DOMICÍLIOS 2026 A 2031,SOCIO,
31,POPULAÇÃO,SOCIO,
32,PROJEÇÃO DO AUMENTO POPULACIONAL: 2026 A 2031,(sem seção),
33,CRESCIMENTO ANUAL DA POPULAÇÃO:2026 A 2031,SOCIO,
34,"A taxa do Brasil não é essa, é 1,8%",(sem seção),
35,PROJEÇÃO DO AUMENTO DOMICILIAR: 2026 A 2031,(sem seção),
36,CRESCIMENTO ANUAL DE DOMICÍLIOS: 2026 A 2031,SOCIO,
37,DADOS SOCIODEMOGRÁFICOS POPULAÇÃO E DOMICÍLIOS,SOCIO,
38,POPULAÇÃO POR FAIXA ETÁRIA,SOCIO,
39,DENSIDADE DEMOGRÁFICA,(sem seção),
40,DENSIDADE DEMOGRÁFICA,(sem seção),
41,DOMICÍLIOS POR FAIXA DE RENDA,SOCIO,
42,RENDA DOMICILIAR,SOCIO,
43,RENDA DOMICILIAR,SOCIO,
44,DOMICÍLIOS POR NÚMERO DE MORADORES,SOCIO,
45,DOMICÍLIOS POR NÚMERO DE MORADORES,SOCIO,
